origem;codigo_ci_externo;job;item_externo;elementar;descricao_solicitada;unidade_de_medida;lideranca;sugestao_de_empresa;modelo_marca;uf_solicitada;cidade_solicitada;data_da_solicitacao;data_prazo;tipo_do_pedido;solicitante;quantidade_de_itens;quantidade_total_de_itens_por_uf;responsavel_pela_solicitacao;data_da_ultima_parcial;data_da_finalizacao;observacoes;duplicidades
CI 013;NA;SICRO;E9660;268491;GUINDASTE SOBRE ESTEIRAS POT.:220 KW CAP. MÁXIMA ATÉ 3,5M 40T;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9660;268491;GUINDASTE SOBRE ESTEIRAS POT.:220 KW CAP. MÁXIMA ATÉ 3,5M 40T;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9660;268491;GUINDASTE SOBRE ESTEIRAS POT.:220 KW CAP. MÁXIMA ATÉ 3,5M 40T;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9660;268491;GUINDASTE SOBRE ESTEIRAS POT.:220 KW CAP. MÁXIMA ATÉ 3,5M 40T;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9658;269748;GUINDASTE SOBRE ESTEIRAS POT.:220 KW CAP. MÁXIMA ATÉ 3,5M 40T;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9651;269753;HAMMER GRAB PARA GUINDASTE SOBRE ESTEIRA;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9566;269749;CLAMSHELL PARA GUINDASTE SOBRE ESTEIRA, CAP 2M3;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9566;269749;CLAMSHELL PARA GUINDASTE SOBRE ESTEIRA, CAP 2M3;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9726;269820;"BATE-ESTACAS TIPO STRAUS COMPOSTA POR: UM GUINCHO 2.000 KG SIMPLES,  TRIPÉ Ø4"", CARRETILHA, TRENÓ, MARTELETE Ø 25 CM, 5 LANCES DE TUBO PARA Ø 25CM, CABEÇA PARA TUBO Ø 25 CM, PONTA PARA TUBO Ø 25CM  E SONDA PARA Ø 25 CM, CONJUNTO SEM MOTOR E SEM CABO DE AÇO";UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
CI 013;NA;SICRO;E9569;269828;CLAMSHELL  PARA GUINDASTE SOBRE ESTEIRA, CAP 5M3;UND;NA;NA;NA;BR;-;2019-01-06T00:00:00Z;2019-01-21T00:00:00Z;Ampliação;SIMG PREÇO;22;22;Thamires;2021-11-24T00:00:00Z;2021-11-24T00:00:00Z;-;NA
